,Unnamed: 0,comment
185,185,Aku cobain donbakeshop tapi cokelatnya ga setebel ituuu
186,186,I NEED U BATTLE BAKSO KAAAK VERSI HARGA MELOKAL EHEHE
187,187,WE made it kak yeeaayyyy..!
188,188,"satu satunya bagi aku food vloger yang berdidikasi tingggi sama makanan dan bisa di percaya,  selain itu unik banget karena biasa nya foodvloger battle makanan hanya menjelaskan dari segi rasa mkanan tapi ka tasyi menjelaskan dengan sangat detail bahkan  bisa ngerasain bahan lain yang ada dimakanan.walau kadang ga dipungkiri selera orang masing masing itu beda tapi  aku selalu suka nonton ka tasyi battle makanannnn"
189,189,"Ak ga ngerti Tasyi ini siapa, tp pnsaran aja karna masuk trending. Dan aku asli kagum dgn cara review dia
Blak2an
Jujur dan sopan
DETAIL
Dan yg aku suka , ga dibuat2

Aku biasany anti banget nnton video diatas 15 menit. Tp ini beneran aku trbawa arus aja 😂😂. Enak aja nntonnya"
190,190,wah
191,191,We made it
192,192,We made it
193,193,Battle hot chocolate/ice chocolate
194,194,Cobain Becca's kak
195,195,"Dari designnya aja udah nyangka yg juara 1 itu Don bakeshop, Congrats"
196,196,WE MADE IT
197,197,"Seruuu bgtt part battle, bikin gregetan. Dan kak tasyi deskripsiinnya detail bgt . Nah begini food vloger hrsnya gk cuman ya enak asin atau enak pedes gk begitu doang😅"
198,198,Trending 3 kak tasyi.. congraatttssss wohoooo
199,199,nonton ini sambil makan dubai coklat😊
200,200,Aku malah mau ka tasyi bikin bettle sarden untuk persiapan sahur😂😂😂
201,201,we made it
202,202,yaelah baru mulai udh iklan awkwk
203,203,nmr 10 beda sendiri 😅
204,204,Konten pling di tunggu perbettle an ini
205,205,Aaaa kesel bgt kemaren jastip Don Bakeshop ketipu jastiipp 😭. IG-nya “Pretty Jastip Co & Shopping” tp skr account-nya udh ilang 🥲
206,206,"Kak Tasyii seneng bangettt bisa trending 3 selamat ka tasyii, aku suka bangett ngikutin battle ka tasyi.  Aaaaa senenggg"
207,207,WE MADE IT 😍🔥🔥🔥🔥🔥
208,208,❤
209,209,"Kalo sekarang foodvloger kebanyakan enak2 aja blgnya,gak bsa deskripsikan makanan itu. .gak ada pak bondan,masih ada tasyi"
210,210,Pake kataifi atau kunafa sih namanya
211,211,Kk masuk tv loh
212,212,kak jujur aku mau beli nungguin km review dulu 😭
213,213,ka tasyi banyakin vidio battle lagi hehe
214,214,Wow
215,215,Kak silau backgroundnya😅
216,216,Congrats tranding 2🎉
217,217,Aku liat org bikin pakai mihun.....hahahahaha😂 ga hbis fkir aku
218,218,Kebayang ga sihhh modalnya brp itu coklat semua 😮
219,219,APASIH NGE RIVIEW KOK ARAHNYA JADI KE TAHINI TAHINI SII GAJELAS BANGET PASTI SENGAJA ITU MAH
220,220,MENJATUHKAN!!!
221,221,we made it kakk
222,222,akhirnyaaa
223,223,"INGET BANGETTT DULU KAK TASYI PERNAH BILANG ""GA BISA DAPET TRANDING DI YUTUB."" NAH ALHAMDULILLAH SEKARANG TERNYATA BISA DI TITIK INI YA KAKKK! CONGRATS ✨✨"
224,224,"Kak tasyi, battle nugget please??"
225,225,We Made it❤
226,226,Congrats kak Tasyiiii
227,227,Udah ga di ragukan lagi anak² nya ibu ala ini totalitas semua kalau udah mereview
228,228,Battle ayam pop padang gasihh?
229,229,"Yah sayang bgt ga ada becca's bake shop, banyak yg bilang lebih enak dari don"
230,230,Akhirnya trending
231,231,yaah gaada moody baker sama becca's. di tiktok seliweran 2 brand itu juga
232,232,Kak bettel   coklat silferQuin ada yang palsu  pliss semoga dibaca amin
233,233,Trending 2 kak tasyi 😍
234,234,"kak tasyi, plis battle makanannya sering2 dong, udah kehabisan tayangan buat temen makan :((("
235,235,Itu nomor 10 coklat dubai isi promag ga siii wkwkkw
236,236,"Mau tau harga nya yg nomor sepuluh, se gak worth it itu kah?😮"
237,237,gokil
238,238,"Suka banget video riview ini, bersih jelas tempo nya dapat. Sukses terus kak tasyi dan team."
239,239,kataifi tuh bahasa apanya kunafa ya?
240,240,Patungan belinya dipotong rata..buat nyobain rame” 😂
241,241,No 2 isi promag ga sih 🤣
242,242,🎉🎉🎉
243,243,cie trending r
244,244,"Moisturizer HnH emang bagus  pernah coba  tapi dikit bgt isinya 2x lipat dri originot
Daycreamnya itu kya Foundation jd suka bentrok warna dg cushion atau bedak"
245,245,"Kaan klo battle pasti trending kak, pliss banyakin konten battle"
246,246,WE MADE IT🥳🔥
247,247,WE MADE IT🥳🔥
248,248,We made it😮🎉❤
249,249,kenapa gaada the moody baker???? padahal itu di juara juara in bangettt
250,250,WE MADE IT 🎉🧡
251,251,"We made it!! Walaupun diriku tidak memiliki niat ingin membeli Dubai coklat karena ga punya uang, tapi aku tetap menonton nya untuk mendukung ka tasyii 🥰😍"
252,252,"You made it Kak Tasyi .. 
Aku jarang banget Komen di Yt hihi"
253,253,Masya allah yang lagi trending #1 finally ❤
254,254,WE MADE IT kakk ❤
255,255,WE MADE IT KA TASYIII CONGRATS
256,256,Jadi pengen 🤤
257,257,Kok by chi keik gada ig or shope onlinenya yak
258,258,"hah jastip 520? Dikita cuma 350 kak , open list setiap hari dari jakarta selatan."
259,259,We made it ka Tasyi❤️
260,260,"Sumpah gua kalo beli makanan yg hits2 skrg liat review ka tasyi , dia bnr2 se detail itu kl nge review😁😁😁"
261,261,"Ka Tasyi makin ngereview yg kurang, makin nada bicaranya lembut, keliatan bgt hatinya ga tega :) reaksi spontan biasanya ga bsa dibuat2... jd makin syg hhe"
262,262,WE MADE IT🤍🤍🤎🤍🤎🤍🤎🤍🤎🤍🤎 CONGRATS KAK TASYI SENENG BGT!!! Ngikutin kak tasyi dari jaman baheula bgt huaaa so proud of you kak🤎🤍
263,263,Gw saranin kalian nnton nya pake kecepatan 1.5 pas bagian dia nilai yg studio coklat. Di jamin ngakak🤣🤣🤣
264,264,"By chi keik kalo mau order gimana caranya ya, di cari di market place ko gak ada, di ig juga gak ada"
265,265,Trending 1 nii Ci
266,266,Udah ketebak don bake shop yg juara atu emang endullll
267,267,Syelamaaat kak tasyii.. akhirnya trending 1 ya ges... Alhamdulillah.. seyamangaat teruuus kakak....
268,268,WE MADE IT!
269,269,WE MADE IT KAAKK SELAMAT YAA TRENDING 1 🎉
270,270,Betulll donebakes itu coklat bawahnya ketebelaaan udah nyoba..
271,271,Yg menang lg viral bgt don bakshop
272,272,Cara Beli by chi keik dimana ya?
273,273,Gw suka kalau dia udh review makanan 😂😂😂
274,274,Keren bangettttt
275,275,Battle ayam pop ada gaksih?
276,276,We made it
277,277,"Heavenlytest emang manis bgt isiannya jd eneg. Btw yg 125k itu tipis kecil bgt aku soalnya udah beli, kalo yg besar 315k ."
278,278,finally kak tasyiii trending 1
279,279,Trending 1 loh kak tasyi..
280,280,Tasyi made it 🎉🎉🎉🎉
281,281,.
282,282,Selamat trending 1
283,283,We made it!!!! Aaaa
284,284,WE MADE IT 💫
285,285,"Walaupun gk bisa beli tapi sudah trwakilkan rasanya di video ini,mna yg endolita mana yg rasanya biasa aja.. mksh k tasyi.. ❤❤"
286,286,Kakk tasyi battle kopi saset dongg😊😊😊
287,287,gils don bakeshop ..keren
288,288,DON BAKESHOP UDH ADA LOGO HALALNYA BLM...RHUM NYA GIMN DI SANA???
